rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
117,3042,118452,1.1,59278,2.0,41.9,0.058,11.7,201.9,0.36,0.69,670,6,16,"{'tl_len': 298, 'vol_mult': 1.2, 'stop_mult': 1.0, 'act_R': 1.0, 'trail_frac': 1.0, 'buf_atr': 0.85, 'min_brk': 1.5, 'ema_len': 340, 'atr_len': 104, 'regime_len': 10, 'cooldown_bars': 35, 'freeze_overnight': True, 'breakeven_R': 1.5}"
118,1496,136672,1.206,31325,4.36,44.5,0.115,11.4,99.3,0.48,0.9,798,8,13,"{'tl_len': 226, 'vol_mult': 2.9, 'stop_mult': 1.9, 'act_R': 1.5, 'trail_frac': 2.0, 'buf_atr': 0.35, 'min_brk': 1.4, 'ema_len': 1300, 'atr_len': 68, 'regime_len': 65, 'cooldown_bars': 50, 'freeze_overnight': False, 'breakeven_R': 2.0}"
119,1836,69178,1.136,35763,1.93,35.9,0.087,10.6,121.9,0.34,0.77,434,5,17,"{'tl_len': 102, 'vol_mult': 4.0, 'stop_mult': 2.0, 'act_R': 0.5, 'trail_frac': 2.0, 'buf_atr': 0.85, 'min_brk': 1.8, 'ema_len': 420, 'atr_len': 180, 'regime_len': 75, 'cooldown_bars': 205, 'freeze_overnight': True, 'breakeven_R': 0.0}"
120,3539,96467,1.071,64565,1.49,37.0,0.045,10.5,234.9,0.29,0.54,611,4,14,"{'tl_len': 174, 'vol_mult': 0.8, 'stop_mult': 1.1, 'act_R': 2.0, 'trail_frac': 1.0, 'buf_atr': 0.9, 'min_brk': 1.4, 'ema_len': 460, 'atr_len': 136, 'regime_len': 45, 'cooldown_bars': 30, 'freeze_overnight': False, 'breakeven_R': 3.0}"
121,1619,87824,1.198,23065,3.81,51.3,0.097,10.4,107.5,0.49,0.93,561,5,15,"{'tl_len': 102, 'vol_mult': 4.9, 'stop_mult': 1.8, 'act_R': 2.0, 'trail_frac': 1.0, 'buf_atr': 0.0, 'min_brk': 1.8, 'ema_len': 220, 'atr_len': 112, 'regime_len': 30, 'cooldown_bars': 90, 'freeze_overnight': False, 'breakeven_R': 3.0}"
122,1858,52411,1.116,26068,2.01,28.8,0.082,10.2,123.3,0.28,0.61,342,4,14,"{'tl_len': 206, 'vol_mult': 4.9, 'stop_mult': 1.0, 'act_R': 1.5, 'trail_frac': 1.5, 'buf_atr': 0.55, 'min_brk': 1.5, 'ema_len': 1420, 'atr_len': 56, 'regime_len': 0, 'cooldown_bars': 0, 'freeze_overnight': True, 'breakeven_R': 1.0}"
123,1217,108450,1.236,31446,3.45,46.5,0.126,10.2,80.8,0.47,0.98,706,6,14,"{'tl_len': 242, 'vol_mult': 4.3, 'stop_mult': 1.7, 'act_R': 1.5, 'trail_frac': 1.5, 'buf_atr': 0.65, 'min_brk': 2.8, 'ema_len': 1580, 'atr_len': 144, 'regime_len': 75, 'cooldown_bars': 20, 'freeze_overnight': True, 'breakeven_R': 1.5}"
124,1578,85259,1.139,43074,1.98,31.4,0.095,10.0,104.8,0.31,0.72,568,7,15,"{'tl_len': 162, 'vol_mult': 2.9, 'stop_mult': 1.4, 'act_R': 0.0, 'trail_frac': 3.0, 'buf_atr': 0.25, 'min_brk': 2.5, 'ema_len': 740, 'atr_len': 64, 'regime_len': 75, 'cooldown_bars': 110, 'freeze_overnight': False, 'breakeven_R': 0.0}"
125,2521,56612,1.081,40152,1.41,31.0,0.056,9.4,167.4,0.25,0.55,401,7,12,"{'tl_len': 178, 'vol_mult': 3.5, 'stop_mult': 1.1, 'act_R': 0.5, 'trail_frac': 1.5, 'buf_atr': 0.2, 'min_brk': 1.6, 'ema_len': 1340, 'atr_len': 68, 'regime_len': 0, 'cooldown_bars': 240, 'freeze_overnight': True, 'breakeven_R': 2.0}"
126,1906,65864,1.107,33739,1.95,31.5,0.073,9.2,126.5,0.28,0.59,473,5,14,"{'tl_len': 114, 'vol_mult': 3.2, 'stop_mult': 1.8, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.75, 'min_brk': 2.8, 'ema_len': 380, 'atr_len': 144, 'regime_len': 85, 'cooldown_bars': 220, 'freeze_overnight': True, 'breakeven_R': 1.5}"
