run,famKey,strategy,instrument,timeframe,verdict,source,stretch,n,years,pf,win_pct,evr,ryr,net,dd,wf_years_src,params
226,ENGU-Q,ENGUQ_1M_ETH_FROZEN_1_0.py,NQ,1m,PASS,champion,pre,1990,15.06,1.357,25.1,0.268,35.4,183829,49881,optimize window,"{""buf_atr"": 0.9, ""vol_mult"": 0.8, ""ema_len"": 1380, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 1.5, ""atr_len"": 106, ""act_R"": 2.5}"
227,ENGU-Q,ENGUQ_1M_149F_1_0.py,NQ,1m,PASS,champion,pre,1362,15.1,1.676,28.2,0.486,43.8,262436,32803,optimize window,"{""buf_atr"": 0.9, ""vol_mult"": 0.8, ""ema_len"": 390, ""tl_len"": 48, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 1.5, ""atr_len"": 30, ""act_R"": 2.5}"
228,ORB,ORB_3_5.py,NQ,5m,PASS,champion,pre,1257,15.18,1.306,48.7,0.157,13.0,98295,15528,optimize window,"{""close_confirm"": true, ""vpace_filter"": 0.7, ""stop_frac"": 1.25, ""gap_min"": 0.25, ""target_R"": 3.5, ""atr_filter"": 0.5, ""skip_holidays"": false, ""breakout_buf"": 0.0, ""orw_min"": 0.0, ""entry_cutoff"": 0, ""flat_eod"": true, ""or_bars"": 2, ""trail_bars"": 6, ""partial_exit_R"": 1.5, ""trade_mode"": ""First-candle dir""}"
229,ORB,ORB_3_5_C228.py,NQ,5m,PASS,champion,pre,1251,15.1,1.332,48.8,0.17,14.1,103837,15528,optimize window,"{""close_confirm"": true, ""vpace_filter"": 0.7, ""stop_frac"": 1.25, ""gap_min"": 0.25, ""target_R"": 3.5, ""atr_filter"": 0.5, ""skip_holidays"": false, ""breakout_buf"": 0.0, ""orw_min"": 0.0, ""entry_cutoff"": 0, ""flat_eod"": true, ""or_bars"": 2, ""trail_bars"": 6, ""partial_exit_R"": 1.5, ""trade_mode"": ""First-candle dir""}"
230,ORB,ORB_3_4_C221.py,NQ,5m,PASS,champion,pre,1795,15.18,1.1,48.2,0.052,6.1,52338,26796,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""trail_bars"": 3, ""target_R"": 5.5, ""partial_exit_R"": 3.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
231,NOISE,NOISE_1_0.py,NQ,5m,PASS,champion,pre,3872,14.68,1.174,34.7,0.114,30.1,96611,16827,optimize window,"{""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""window"": ""all_day"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""band_mult_long"": 0.75, ""stop_k"": 1.75, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
231,NOISE,NOISE_1_0.py,NQ,5m,PASS,candidate,wf,1638,9.22,1.356,40.4,0.212,37.7,11409,915,estimate: optimize yrs x WF trade share,"{""skip_holidays"": false, ""stop_mode"": ""atr"", ""window"": ""all_day"", ""flat_eod"": false, ""lookback"": 96, ""side"": ""Both"", ""band_mult_long"": 1.5, ""stop_k"": 0.5, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
231,NOISE,NOISE_1_0.py,NQ,5m,PASS,candidate,pre,2609,14.68,1.332,39.8,0.2,35.5,12272,915,optimize window,"{""skip_holidays"": false, ""stop_mode"": ""atr"", ""window"": ""all_day"", ""flat_eod"": false, ""lookback"": 96, ""side"": ""Both"", ""band_mult_long"": 1.5, ""stop_k"": 0.5, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
231,NOISE,NOISE_1_0.py,NQ,5m,PASS,candidate,wf,1933,9.13,1.385,39.8,0.232,49.0,13618,907,estimate: optimize yrs x WF trade share,"{""skip_holidays"": false, ""stop_mode"": ""atr"", ""window"": ""all_day"", ""flat_eod"": false, ""lookback"": 83, ""side"": ""Both"", ""band_mult_long"": 1.25, ""stop_k"": 0.5, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
231,NOISE,NOISE_1_0.py,NQ,5m,PASS,candidate,pre,3107,14.68,1.342,38.5,0.211,44.6,14148,907,optimize window,"{""skip_holidays"": false, ""stop_mode"": ""atr"", ""window"": ""all_day"", ""flat_eod"": false, ""lookback"": 83, ""side"": ""Both"", ""band_mult_long"": 1.25, ""stop_k"": 0.5, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
