rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
57,1692,72025,1.415,10506,6.86,22.0,0.324,36.4,112.4,0.76,2.08,131,6,7,"{'lookback': 52, 'band_mult_long': 0.75, 'band_mult_short': 2.5, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 4, 'daytype_mode': 'skip_top_all', 'daytype_lo': 0.05, 'daytype_hi': 0.85, 'vol_skip_pct': 58.0, 'stop_k': 0.5}"
58,1792,172812,1.483,21599,8.0,37.1,0.303,36.1,119.0,1.11,2.56,318,8,2,"{'lookback': 116, 'band_mult_long': 0.75, 'band_mult_short': 1.5, 'exit_mode': 'vwap', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 1, 'daytype_mode': 'off', 'daytype_lo': 0.45, 'daytype_hi': 0.95, 'vol_skip_pct': 54.0, 'stop_k': 0.25}"
59,3707,80537,1.178,22172,3.63,18.2,0.145,35.8,246.2,0.54,1.32,149,5,4,"{'lookback': 6, 'band_mult_long': 0.5, 'band_mult_short': 0.5, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'bandwidth', 'confirm_bars': 3, 'daytype_mode': 'skip_top_all', 'daytype_lo': 0.2, 'daytype_hi': 0.75, 'vol_skip_pct': 98.0, 'stop_k': 2.5}"
60,1725,126258,1.428,11705,10.79,27.6,0.31,35.5,114.6,0.83,2.43,236,5,5,"{'lookback': 10, 'band_mult_long': 2.5, 'band_mult_short': 1.25, 'exit_mode': 'band', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.1, 'daytype_hi': 0.55, 'vol_skip_pct': 86.0, 'stop_k': 0.75}"
61,1136,126490,1.714,7642,16.55,34.3,0.469,35.4,75.5,1.2,3.02,237,7,5,"{'lookback': 69, 'band_mult_long': 0.75, 'band_mult_short': 2.0, 'exit_mode': 'band', 'side': 'Long Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 4, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.05, 'daytype_hi': 0.6, 'vol_skip_pct': 64.0, 'stop_k': 4.0}"
62,1757,64984,1.376,12008,5.41,20.2,0.3,35.0,116.7,0.65,1.92,123,6,5,"{'lookback': 23, 'band_mult_long': 1.5, 'band_mult_short': 1.75, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 3, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.4, 'daytype_hi': 0.55, 'vol_skip_pct': 72.0, 'stop_k': 1.0}"
63,1464,97484,1.522,11048,8.82,31.8,0.356,34.6,97.2,0.9,2.55,187,7,6,"{'lookback': 30, 'band_mult_long': 1.5, 'band_mult_short': 2.0, 'exit_mode': 'band', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 2, 'daytype_mode': 'off', 'daytype_lo': 0.3, 'daytype_hi': 0.95, 'vol_skip_pct': 61.0, 'stop_k': 1.75}"
64,2978,58386,1.203,17090,3.42,17.0,0.168,33.3,197.8,0.46,1.28,116,5,4,"{'lookback': 5, 'band_mult_long': 1.25, 'band_mult_short': 0.75, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 2, 'daytype_mode': 'skip_top_all', 'daytype_lo': 0.1, 'daytype_hi': 0.6, 'vol_skip_pct': 63.0, 'stop_k': 1.25}"
65,1384,143927,1.528,12115,11.88,32.5,0.357,32.8,91.9,1.12,2.65,292,8,4,"{'lookback': 82, 'band_mult_long': 0.75, 'band_mult_short': 1.25, 'exit_mode': 'band', 'side': 'Long Only', 'window': 'morning', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.15, 'daytype_hi': 0.95, 'vol_skip_pct': 94.0, 'stop_k': 0.25}"
66,1204,120495,1.604,11230,10.73,32.1,0.41,32.8,80.0,1.07,2.7,244,8,4,"{'lookback': 38, 'band_mult_long': 1.0, 'band_mult_short': 1.75, 'exit_mode': 'band', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 4, 'daytype_mode': 'off', 'daytype_lo': 0.05, 'daytype_hi': 0.85, 'vol_skip_pct': 63.0, 'stop_k': 2.75}"
67,1702,118367,1.438,11261,10.51,33.7,0.291,32.8,113.0,0.99,2.34,239,8,5,"{'lookback': 20, 'band_mult_long': 1.0, 'band_mult_short': 2.5, 'exit_mode': 'band', 'side': 'Both', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'fixed', 'confirm_bars': 3, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.15, 'daytype_hi': 0.85, 'vol_skip_pct': 84.0, 'stop_k': 0.75}"
68,2222,98003,1.263,22695,4.32,15.5,0.222,32.8,147.6,0.58,1.55,199,5,4,"{'lookback': 67, 'band_mult_long': 1.0, 'band_mult_short': 0.5, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 4, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.45, 'daytype_hi': 0.9, 'vol_skip_pct': 78.0, 'stop_k': 1.5}"
69,2079,210725,1.391,30916,6.82,39.7,0.236,32.6,138.1,1.1,2.32,429,8,4,"{'lookback': 75, 'band_mult_long': 1.25, 'band_mult_short': 2.5, 'exit_mode': 'vwap', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 1, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.1, 'daytype_hi': 0.85, 'vol_skip_pct': 99.0, 'stop_k': 0.25}"
70,1078,83432,1.56,8289,10.07,19.7,0.45,32.2,71.6,0.76,2.41,172,6,5,"{'lookback': 112, 'band_mult_long': 0.5, 'band_mult_short': 1.5, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 4, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.3, 'daytype_hi': 0.85, 'vol_skip_pct': 93.0, 'stop_k': 3.75}"
71,845,89259,1.847,7812,11.43,33.0,0.568,31.9,56.1,1.06,2.93,186,7,6,"{'lookback': 93, 'band_mult_long': 1.25, 'band_mult_short': 0.75, 'exit_mode': 'band', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'bandwidth', 'confirm_bars': 2, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.2, 'daytype_hi': 0.55, 'vol_skip_pct': 68.0, 'stop_k': 1.75}"
72,1181,129334,1.6,8758,14.77,34.2,0.395,31.0,78.4,1.13,2.74,277,8,4,"{'lookback': 108, 'band_mult_long': 0.75, 'band_mult_short': 1.25, 'exit_mode': 'band', 'side': 'Long Only', 'window': 'afternoon_block', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'bandwidth', 'confirm_bars': 4, 'daytype_mode': 'off', 'daytype_lo': 0.15, 'daytype_hi': 0.55, 'vol_skip_pct': 77.0, 'stop_k': 1.75}"
73,1574,67029,1.366,9387,7.14,19.3,0.295,30.9,104.5,0.61,1.83,144,6,5,"{'lookback': 98, 'band_mult_long': 1.75, 'band_mult_short': 1.25, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 4, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.1, 'daytype_hi': 0.55, 'vol_skip_pct': 65.0, 'stop_k': 1.75}"
74,2233,36092,1.245,10229,3.53,15.7,0.206,30.6,148.3,0.43,1.38,78,6,2,"{'lookback': 47, 'band_mult_long': 1.25, 'band_mult_short': 1.75, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'morning', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 1, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.15, 'daytype_hi': 0.85, 'vol_skip_pct': 54.0, 'stop_k': 2.5}"
75,2836,145413,1.243,16523,8.8,33.2,0.162,30.6,188.4,0.73,1.59,316,7,4,"{'lookback': 22, 'band_mult_long': 1.25, 'band_mult_short': 0.75, 'exit_mode': 'vwap', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'off', 'confirm_bars': 2, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.35, 'daytype_hi': 0.75, 'vol_skip_pct': 83.0, 'stop_k': 1.75}"
