rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
150,1200,321552,1.792,44612,7.21,14.2,0.679,54.1,79.7,0.58,3.08,394,6,17,"{'er_len': 90, 'er_th': 0.1, 'limit_atr': 0.35, 'tl_len': 182, 'vol_mult': 1.8, 'stop_mult': 1.2, 'act_R': 1.5, 'trail_frac': 4.0, 'buf_atr': 0.35, 'min_brk': 2.5, 'ema_len': 300, 'atr_len': 160, 'regime_len': 50, 'breakeven_R': 1.0}"
151,2029,86077,1.354,21350,4.03,6.8,0.33,44.4,134.7,0.33,2.53,129,5,16,"{'er_len': 90, 'er_th': 0.0, 'limit_atr': 0.5, 'tl_len': 198, 'vol_mult': 4.1, 'stop_mult': 0.3, 'act_R': 0.0, 'trail_frac': 4.0, 'buf_atr': 0.95, 'min_brk': 1.8, 'ema_len': 300, 'atr_len': 180, 'regime_len': 35, 'breakeven_R': 3.0}"
152,1955,232170,1.411,56625,4.1,18.6,0.335,43.5,129.8,0.59,2.05,355,6,21,"{'er_len': 120, 'er_th': 0.05, 'limit_atr': 0.2, 'tl_len': 166, 'vol_mult': 0.9, 'stop_mult': 1.1, 'act_R': 2.0, 'trail_frac': 3.0, 'buf_atr': 0.0, 'min_brk': 1.1, 'ema_len': 820, 'atr_len': 108, 'regime_len': 100, 'breakeven_R': 1.0}"
153,2077,207028,1.369,40595,5.1,16.8,0.307,42.4,137.9,0.57,1.71,324,7,15,"{'er_len': 20, 'er_th': 0.2, 'limit_atr': 0.1, 'tl_len': 114, 'vol_mult': 2.1, 'stop_mult': 1.6, 'act_R': 0.0, 'trail_frac': 4.0, 'buf_atr': 0.95, 'min_brk': 1.4, 'ema_len': 700, 'atr_len': 136, 'regime_len': 35, 'breakeven_R': 1.0}"
154,1147,155889,1.645,20795,7.5,15.0,0.548,41.8,76.1,0.55,3.28,248,8,17,"{'er_len': 100, 'er_th': 0.1, 'limit_atr': 0.9, 'tl_len': 142, 'vol_mult': 2.2, 'stop_mult': 0.6, 'act_R': 1.0, 'trail_frac': 4.0, 'buf_atr': 0.75, 'min_brk': 1.1, 'ema_len': 580, 'atr_len': 56, 'regime_len': 85, 'breakeven_R': 3.0}"
155,5342,74446,1.125,28126,2.65,18.8,0.102,36.1,354.6,0.37,1.11,137,5,24,"{'er_len': 100, 'er_th': 0.1, 'limit_atr': 0.6, 'tl_len': 78, 'vol_mult': 0.1, 'stop_mult': 0.6, 'act_R': 0.5, 'trail_frac': 2.0, 'buf_atr': 0.95, 'min_brk': 0.5, 'ema_len': 620, 'atr_len': 120, 'regime_len': 15, 'breakeven_R': 1.0}"
156,1141,173200,1.558,26860,6.45,17.1,0.462,35.0,75.7,0.72,2.57,328,6,17,"{'er_len': 30, 'er_th': 0.45, 'limit_atr': 0.45, 'tl_len': 218, 'vol_mult': 1.5, 'stop_mult': 0.6, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.4, 'min_brk': 0.9, 'ema_len': 980, 'atr_len': 140, 'regime_len': 75, 'breakeven_R': 1.0}"
157,644,442723,1.913,50173,8.82,25.3,0.682,29.1,42.8,0.69,2.63,1008,8,22,"{'er_len': 50, 'er_th': 0.25, 'limit_atr': 0.3, 'tl_len': 202, 'vol_mult': 0.0, 'stop_mult': 1.8, 'act_R': 1.5, 'trail_frac': 4.0, 'buf_atr': 0.5, 'min_brk': 1.5, 'ema_len': 980, 'atr_len': 112, 'regime_len': 10, 'breakeven_R': 1.5}"
158,2325,375031,1.258,84022,4.46,29.4,0.182,28.1,154.3,0.69,1.75,885,7,15,"{'er_len': 30, 'er_th': 0.2, 'limit_atr': 0.3, 'tl_len': 238, 'vol_mult': 1.7, 'stop_mult': 0.9, 'act_R': 2.5, 'trail_frac': 2.0, 'buf_atr': 0.3, 'min_brk': 0.1, 'ema_len': 420, 'atr_len': 100, 'regime_len': 0, 'breakeven_R': 2.5}"
159,2097,89414,1.251,27403,3.26,20.3,0.2,27.8,139.2,0.48,1.38,213,6,15,"{'er_len': 50, 'er_th': 0.0, 'limit_atr': 0.45, 'tl_len': 158, 'vol_mult': 3.7, 'stop_mult': 1.0, 'act_R': 0.5, 'trail_frac': 2.5, 'buf_atr': 0.1, 'min_brk': 1.6, 'ema_len': 1140, 'atr_len': 40, 'regime_len': 60, 'breakeven_R': 1.0}"
