famKey,param,label,n_runs,kind,declared_lo,declared_hi,step,n_declared_variants,widest_lo,widest_hi,steps,modal_value,pin_at,median_value,iqr_frac,median_pos,edge_rate,lo_edge_share,hi_edge_share,n_power,med_pps,med_mi,med_absr,drift_rho,n_sanity,share_finalists_all_same,share_best_worst_differ,med_finalist_distinct,recommendation,reason,widen_lo,widen_hi,freeze_is_artifact
TTIBS,hold_cap,Max hold (trading days),12,range,1.0,10.0,1.0,1,1.0,10.0,10,7.0,7.0,7.0,0.11111111111111116,0.6666666666666666,0.0,0.0,0.0,12,0.027500000000000004,0.08149999999999999,0.34199999999999997,0.5443324534025429,7,0.0,1.0,4.0,KEEP,"predictive power 0.03 over 12 runs, crowns interior (0% on an edge)",,,False
TTIBS,cut_bars,Decide N bars before the close,1,range,1.0,12.0,1.0,1,1.0,12.0,12,2.0,2.0,2.0,,0.09090909090909091,0.0,0.0,0.0,1,0.0,0.097,0.305,,1,0.0,1.0,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
TTIBS,ibs_entry,IBS entry threshold,12,range,0.05,0.4,0.05,1,0.05,0.4,8,0.4,0.4,0.4,0.0,1.0,0.9166666666666666,0.0,0.9166666666666666,12,0.162,0.382,0.5135,0.13101394402234404,7,0.0,1.0,2.0,WIDEN,92% of crowns sit on the declared maximum,0.05,0.6000000000000001,False
TTMSQZ,kc_mult,Keltner ATR multiplier,13,range,1.0,2.5,0.25,3,1.0,2.5,7,1.5,1.5,1.75,0.5,0.8333333333333334,0.46153846153846156,0.0,0.46153846153846156,13,0.281,0.312,0.559,-0.5088184851280617,13,0.07692307692307693,0.8461538461538461,2.0,KEEP,"predictive power 0.28 over 13 runs, crowns interior (46% on an edge)",,,False
TTMSQZ,bb_mult,Bollinger stdev multiplier,5,range,1.0,3.0,0.25,1,1.0,3.0,9,2.25,2.25,1.5,0.5,0.25,0.2,0.2,0.0,5,0.0,0.056,0.094,0.20519567041703085,5,0.0,1.0,6.0,UNCLEAR,predictive power 0 but the crown wanders (50% of the range) -- no single value to pin,,,False
TTMSQZ,confirm_bars,Momentum-strengthening confirmation bars,2,range,0.0,3.0,1.0,1,0.0,3.0,4,0.0,0.0,0.5,0.16666666666666669,0.16666666666666666,0.5,0.5,0.0,2,0.004,0.024,0.051,,2,0.0,0.0,3.5,UNCLEAR,only 2 crowned runs; needs 3 more,,,False
TTMSQZ,eod_cutoff,No entries inside the last N bars of the session,10,range,0.0,12.0,1.0,2,0.0,12.0,13,1.0,1.0,1.5,0.22916666666666666,0.08333333333333333,0.5,0.5,0.0,10,0.0,0.034,0.05499999999999999,-0.7778920850768356,10,0.0,0.8,4.5,UNCLEAR,predictive power 0 but the crown wanders (23% of the range) -- no single value to pin,,,False
TTMSQZ,fade_bars,Consecutive fading histogram bars to exit (fade mode),5,range,1.0,4.0,1.0,1,1.0,4.0,4,3.0,3.0,3.0,0.3333333333333333,0.6666666666666666,0.4,0.2,0.2,5,0.0,0.0,0.013,0.8207826816681234,5,0.0,0.8,4.0,UNCLEAR,predictive power 0 but the crown wanders (33% of the range) -- no single value to pin,,,False
TTMSQZ,gate_ratio,Compression threshold on the verification timeframe,3,range,1.0,1.3,0.15,1,1.0,1.3,3,1.15,1.15,1.3,0.5,1.0,0.6666666666666666,0.0,0.6666666666666666,3,0.0,0.053,0.258,-0.5,3,0.0,0.6666666666666666,3.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
TTMSQZ,min_sq_bars,Minimum bars in squeeze before a fire counts,5,range,1.0,12.0,1.0,2,1.0,14.0,12,5.0,5.0,7.0,0.18181818181818177,0.46153846153846156,0.0,0.0,0.0,5,0.0,0.052,0.02,-0.21081851067789195,5,0.0,0.8,7.0,UNCLEAR,predictive power 0 but the crown wanders (18% of the range) -- no single value to pin,,,False
TTMSQZ,target_mult,Range-projection target multiple (target mode),2,range,0.5,3.0,0.5,1,0.5,3.0,6,1.0,1.0,1.5,0.2,0.4,0.0,0.0,0.0,2,0.0,0.036000000000000004,0.0775,,2,0.0,1.0,5.0,UNCLEAR,only 2 crowned runs; needs 3 more,,,False
TTMSQZ,gate_len,Verification squeeze length,8,range,16.0,24.0,4.0,2,14.0,24.0,3,20.0,20.0,15.0,0.5833333333333334,0.0,0.625,0.625,0.0,8,0.0,0.3195,0.246,0.27006573887713003,8,0.0,0.5,2.5,WIDEN,62% of crowns sit on the declared minimum,12.0,24.0,False
TTMSQZ,length,Squeeze length (BB / Keltner / momentum),8,range,10.0,40.0,2.0,2,10.0,40.0,16,16.0,16.0,14.0,0.2,0.03333333333333333,0.5,0.5,0.0,8,0.0145,0.173,0.3495,0.3682714621051773,8,0.0,0.75,4.0,WIDEN,50% of crowns sit on the declared minimum,4.0,40.0,False
TTMSQZ,stop_atr,"Protective stop, ATR multiples",10,range,0.5,4.0,0.25,2,0.5,4.0,15,1.5,1.5,2.5,0.9107142857142857,0.8571428571428571,0.7,0.3,0.4,10,0.0,0.0,0.0785,-0.805142657476059,10,0.0,1.0,5.0,WIDEN,"70% of crowns sit on a declared edge, split between both ends (30% bottom / 40% top) -- the knob is either switched off or pushed to the ceiling, never in between",0.5,5.75,False
