ticker,accepted_et,items
MSFT,2017-04-27 16:08,"2.02,9.01"
AAPL,2017-05-02 16:31,"2.02,9.01"
META,2017-05-03 16:13,"2.02,9.01"
TSLA,2017-05-03 16:27,"2.02,9.01"
NVDA,2017-05-09 16:21,"2.02,9.01"
MSFT,2017-07-20 16:08,"2.02,9.01"
GOOGL,2017-07-24 16:01,"2.02,5.02,9.01"
META,2017-07-26 16:07,"2.02,9.01"
AMZN,2017-07-27 16:07,"2.02,9.01"
AAPL,2017-08-01 16:30,"2.02,9.01"
TSLA,2017-08-02 16:21,"2.02,9.01"
NVDA,2017-08-10 16:23,"2.02,9.01"
GOOGL,2017-10-26 16:02,"2.02,9.01"
MSFT,2017-10-26 16:04,"2.02,9.01"
AMZN,2017-10-26 16:09,"2.02,9.01"
META,2017-11-01 16:11,"2.02,9.01"
TSLA,2017-11-01 16:58,"2.02,9.01"
AAPL,2017-11-02 16:30,"2.02,9.01"
NVDA,2017-11-09 16:23,"1.02,2.02,9.01"
MSFT,2018-01-31 16:05,"2.02,9.01"
META,2018-01-31 16:10,"2.02,9.01"
GOOGL,2018-02-01 16:01,"2.02,5.02"
AMZN,2018-02-01 16:15,"2.02,9.01"
AAPL,2018-02-01 16:30,"2.02,9.01"
TSLA,2018-02-07 16:11,"2.02,9.01"
NVDA,2018-02-08 16:23,"2.02,9.01"
GOOGL,2018-04-23 16:01,"2.02,9.01"
META,2018-04-25 16:18,"2.02,8.01,9.01"
MSFT,2018-04-26 16:04,"2.02,9.01"
AMZN,2018-04-26 16:16,"2.02,9.01"
AAPL,2018-05-01 16:30,"2.02,9.01"
TSLA,2018-05-02 16:12,"2.02,9.01"
NVDA,2018-05-10 16:25,"2.02,9.01"
MSFT,2018-07-19 16:02,"2.02,9.01"
GOOGL,2018-07-23 16:02,"2.02,9.01"
META,2018-07-25 16:08,"2.02,9.01"
AMZN,2018-07-26 16:14,"2.02,9.01"
AAPL,2018-07-31 16:30,"2.02,9.01"
TSLA,2018-08-01 16:32,"2.02,9.01"
NVDA,2018-08-16 16:20,"2.02,9.01"
MSFT,2018-10-24 16:03,"2.02,9.01"
TSLA,2018-10-24 16:27,"2.02,9.01"
GOOGL,2018-10-25 16:01,"2.02,9.01"
AMZN,2018-10-25 16:18,"2.02,9.01"
META,2018-10-30 16:14,"2.02,9.01"
AAPL,2018-11-01 16:30,"2.02,9.01"
NVDA,2018-11-15 16:21,"2.02,9.01"
AAPL,2019-01-02 16:30,"2.02,9.01"
NVDA,2019-01-28 09:04,"2.02,9.01"
AAPL,2019-01-29 16:30,"2.02,9.01"
MSFT,2019-01-30 16:03,"2.02,9.01"
META,2019-01-30 16:16,"2.02,9.01"
TSLA,2019-01-30 16:17,"2.02,9.01"
AMZN,2019-01-31 16:30,"2.02,9.01"
GOOGL,2019-02-04 16:01,"2.02,9.01"
NVDA,2019-02-14 16:23,"2.02,9.01"
MSFT,2019-04-24 16:04,"2.02,9.01"
META,2019-04-24 16:09,"2.02,9.01"
TSLA,2019-04-24 17:15,"2.02,9.01"
AMZN,2019-04-25 16:10,"2.02,9.01"
GOOGL,2019-04-29 16:01,"2.02,9.01"
AAPL,2019-04-30 16:30,"2.02,9.01"
NVDA,2019-05-16 16:22,"2.02,9.01"
MSFT,2019-07-18 16:03,"2.02,9.01"
META,2019-07-24 16:27,"2.02,9.01"
TSLA,2019-07-24 16:56,"2.02,9.01"
GOOGL,2019-07-25 16:01,"2.02,9.01"
AMZN,2019-07-25 16:33,"2.02,9.01"
AAPL,2019-07-30 16:30,"2.02,9.01"
NVDA,2019-08-15 16:27,"2.02,9.01"
MSFT,2019-10-23 16:06,"2.02,9.01"
TSLA,2019-10-23 17:25,"2.02,9.01"
AMZN,2019-10-24 19:53,"2.02,9.01"
GOOGL,2019-10-28 16:03,"2.02,9.01"
META,2019-10-30 16:13,"2.02,5.02,8.01,9.01"
AAPL,2019-10-30 16:30,"2.02,9.01"
NVDA,2019-11-14 16:21,"2.02,9.01"
AAPL,2020-01-28 16:30,"2.02,9.01"
MSFT,2020-01-29 16:03,"2.02,9.01"
META,2020-01-29 16:10,"2.02,8.01,9.01"
TSLA,2020-01-29 17:12,"2.02,9.01"
AMZN,2020-01-30 16:46,"2.02,9.01"
GOOGL,2020-02-03 16:02,"2.02,9.01"
NVDA,2020-02-13 16:21,"2.02,9.01"
GOOGL,2020-04-28 16:01,"2.02,9.01"
MSFT,2020-04-29 16:03,"2.02,9.01"
META,2020-04-29 16:10,"2.02,9.01"
TSLA,2020-04-29 16:56,"2.02,9.01"
AAPL,2020-04-30 16:30,"2.02,9.01"
AMZN,2020-04-30 16:42,"2.02,9.01"
NVDA,2020-05-21 16:22,"2.02,9.01"
MSFT,2020-07-22 16:03,"2.02,9.01"
TSLA,2020-07-22 16:54,"2.02,9.01"
GOOGL,2020-07-30 18:40,"2.02,9.01"
AAPL,2020-07-30 18:55,"2.02,9.01"
AMZN,2020-07-30 19:05,"2.02,9.01"
META,2020-07-30 19:18,"2.02,9.01"
NVDA,2020-08-19 16:21,"2.02,9.01"
TSLA,2020-10-21 16:38,"2.02,9.01"
MSFT,2020-10-27 16:12,"2.02,9.01"
GOOGL,2020-10-29 16:01,"2.02,9.01"
META,2020-10-29 16:07,"2.02,9.01"
AAPL,2020-10-29 16:30,"2.02,9.01"
AMZN,2020-10-29 16:42,"2.02,9.01"
NVDA,2020-11-18 16:21,"2.02,9.01"
MSFT,2021-01-26 16:04,"2.02,9.01"
META,2021-01-27 16:08,"2.02,8.01,9.01"
AAPL,2021-01-27 16:30,"2.02,9.01"
TSLA,2021-01-27 17:11,"2.02,9.01"
GOOGL,2021-02-02 16:01,"2.02,9.01"
AMZN,2021-02-02 16:30,"2.02,5.02,9.01"
NVDA,2021-02-24 16:22,"2.02,9.01"
TSLA,2021-04-26 16:53,"2.02,9.01"
GOOGL,2021-04-27 16:01,"2.02,9.01"
MSFT,2021-04-27 16:04,"2.02,9.01"
META,2021-04-28 16:09,"2.02,9.01"
AAPL,2021-04-28 16:30,"2.02,9.01"
AMZN,2021-04-29 16:31,"2.02,9.01"
NVDA,2021-05-26 16:20,"2.02,9.01"
TSLA,2021-07-26 16:25,"2.02,9.01"
AAPL,2021-07-27 16:35,"2.02,9.01"
GOOGL,2021-07-27 16:36,"2.02,9.01"
MSFT,2021-07-27 16:41,"2.02,9.01"
META,2021-07-28 16:08,"2.02,9.01"
AMZN,2021-07-29 16:34,"2.02,9.01"
NVDA,2021-08-18 16:21,"2.02,9.01"
TSLA,2021-10-20 17:14,"2.02,9.01"
META,2021-10-25 16:08,"2.02,8.01,9.01"
GOOGL,2021-10-26 16:01,"2.02,9.01"
MSFT,2021-10-26 16:04,"2.02,9.01"
AMZN,2021-10-28 16:07,"2.02,9.01"
AAPL,2021-10-28 16:30,"2.02,9.01"
NVDA,2021-11-17 16:20,"2.02,9.01"
MSFT,2022-01-25 16:03,"2.02,9.01"
TSLA,2022-01-26 16:26,"2.02,9.01"
AAPL,2022-01-27 16:30,"2.02,9.01"
GOOGL,2022-02-01 16:01,"2.02,8.01,9.01"
META,2022-02-02 16:08,"2.02,9.01"
AMZN,2022-02-03 16:11,"2.02,9.01"
NVDA,2022-02-16 16:21,"2.02,9.01"
TSLA,2022-04-20 16:12,"2.02,9.01"
GOOGL,2022-04-26 16:01,"2.02,9.01"
MSFT,2022-04-26 16:03,"2.02,9.01"
META,2022-04-27 16:07,"2.02,9.01"
AMZN,2022-04-28 16:27,"2.02,9.01"
AAPL,2022-04-28 16:32,"2.02,9.01"
NVDA,2022-05-25 16:22,"2.02,9.01"
TSLA,2022-07-20 16:43,"2.02,9.01"
GOOGL,2022-07-26 16:02,"2.02,9.01"
MSFT,2022-07-26 16:02,"2.02,9.01"
META,2022-07-27 16:07,"2.02,9.01"
AMZN,2022-07-28 16:09,"2.02,9.01"
AAPL,2022-07-28 16:31,"2.02,9.01"
NVDA,2022-08-08 09:16,"2.02,9.01"
NVDA,2022-08-24 16:24,"2.02,9.01"
TSLA,2022-10-19 17:15,"2.02,9.01"
GOOGL,2022-10-25 16:01,"2.02,5.03,9.01"
MSFT,2022-10-25 16:02,"2.02,9.01"
META,2022-10-26 16:19,"2.02,9.01"
AMZN,2022-10-27 16:09,"2.02,9.01"
AAPL,2022-10-27 16:30,"2.02,9.01"
NVDA,2022-11-16 16:21,"2.02,9.01"
MSFT,2023-01-24 16:28,"2.02,9.01"
TSLA,2023-01-25 16:41,"1.01,1.02,2.02,2.03,9.01"
META,2023-02-01 16:22,"2.02,8.01,9.01"
GOOGL,2023-02-02 16:01,"2.02,9.01"
AMZN,2023-02-02 16:08,"2.02,9.01"
AAPL,2023-02-02 16:30,"2.02,9.01"
NVDA,2023-02-22 16:52,"2.02,9.01"
TSLA,2023-04-19 17:25,"2.02,9.01"
GOOGL,2023-04-20 16:24,"2.02,8.01,9.01"
GOOGL,2023-04-25 16:01,"2.02,9.01"
MSFT,2023-04-25 16:03,"2.02,9.01"
META,2023-04-26 16:18,"2.02,9.01"
AMZN,2023-04-27 16:10,"2.02,9.01"
AAPL,2023-05-04 16:30,"2.02,9.01"
NVDA,2023-05-24 16:22,"2.02,9.01"
TSLA,2023-07-19 16:46,"2.02,9.01"
GOOGL,2023-07-25 16:01,"2.02,9.01"
MSFT,2023-07-25 16:02,"2.02,9.01"
META,2023-07-26 16:06,"2.02,9.01"
AMZN,2023-08-03 16:09,"2.02,9.01"
AAPL,2023-08-03 16:30,"2.02,9.01"
NVDA,2023-08-23 16:21,"2.02,9.01"
TSLA,2023-10-18 16:15,"2.02,9.01"
GOOGL,2023-10-24 16:01,"2.02,5.02,9.01"
MSFT,2023-10-24 16:03,"2.02,9.01"
META,2023-10-25 16:20,"2.02,9.01"
